Feature,Importance
hist_dx_t-12,0.06057470664381981
hist_dx_t-2,0.047137271612882614
vx_last,0.03414070978760719
ay_mean,0.03258949890732765
hist_dx_t-3,0.02866777963936329
vy_last,0.027231775224208832
sampen_y,0.025335492566227913
delay_x_1,0.024726184085011482
delay_x_2,0.023724058642983437
ay_last,0.02364255301654339
vy_mean,0.022480081766843796
hist_dy_t-5,0.02120489440858364
hist_dy_t-4,0.02063404582440853
lon_displacement,0.020314469933509827
hist_dx_t-10,0.020298488438129425
hist_dy_t-11,0.02009192295372486
hist_dy_t-10,0.019512314349412918
hist_dy_t-9,0.01921696774661541
sq_graph_density,0.019197631627321243
hist_dy_t-3,0.01915457472205162
vy_std,0.018777120858430862
ay_std,0.01831466145813465
lyapunov_proxy_y,0.018284164369106293
vx_mean,0.01819947548210621
hist_dx_t-6,0.018085982650518417
vx_std,0.0177238117903471
last_y,0.016834532842040062
delay_y_2,0.016293320804834366
lat_range,0.016057511791586876
sq_mse_speed_s3,0.01593678630888462
sq_sampen_y,0.015615591779351234
hist_dy_t-6,0.015450987033545971
graph_mean_rel_speed,0.014970875345170498
sq_acc_abs_p90,0.014233153313398361
last_x,0.01334579847753048
hist_dx_t-7,0.01302382443100214
hist_dy_t-7,0.012201355770230293
sq_graph_neighbor_count,0.012170102447271347
sq_graph_same_lane_density,0.01147349365055561
hist_dx_t-11,0.011374261230230331
hist_dx_t-4,0.010851827450096607
hist_dy_t-2,0.010840467177331448
ax_std,0.010448502376675606
delay_y_1,0.00974460318684578
acc_abs_p90,0.009305178187787533
sq_dfa_speed_alpha,0.009150702506303787
hist_dx_t-8,0.00912100076675415
hist_lane_last,0.008786224760115147
ax_last,0.008667586371302605
sq_mse_speed_s1,0.008410366252064705
jerk_y_std,0.00826103612780571
ax_mean,0.008090625517070293
sq_dfa_y_alpha,0.008062503300607204
hist_dy_t-8,0.007990832440555096
sq_sampen_speed,0.006784579250961542
sq_mse_speed_s2,0.0065283095464110374
hist_dx_t-5,0.006303309462964535
complexity_speed,0.0058187032118439674
sq_graph_mean_rel_speed,0.005639596842229366
sq_graph_min_headway,0.002951705362647772
delay_x_0,0.0
hist_dx_t-9,0.0
sq_rqa_mean_diag_len,0.0
sq_rqa_determinism,0.0
sq_mse_speed_mean,0.0
hist_dy_t-1,0.0
sq_mse_speed_s4,0.0
sq_mse_speed_s5,0.0
sq_mse_speed_slope,0.0
hist_dy_t-12,0.0
sq_rqa_recurrence_rate,0.0
graph_min_headway,0.0
graph_neighbor_count,0.0
mse_speed_s1,0.0
delay_y_0,0.0
hist_lane_change_count,0.0
rqa_recurrence_rate,0.0
rqa_determinism,0.0
rqa_mean_diag_len,0.0
hist_dx_t-1,0.0
sampen_speed,0.0
mse_speed_s2,0.0
graph_same_lane_density,0.0
mse_speed_s3,0.0
mse_speed_s4,0.0
mse_speed_s5,0.0
mse_speed_mean,0.0
dfa_y_alpha,0.0
dfa_speed_alpha,0.0
graph_density,0.0
mse_speed_slope,0.0
