Model,Horizon_s,Error_m
CV,1.0,0.5680085708310444
CV,2.0,1.5080065944362644
CV,3.0,2.7316361687371926
CV,4.0,4.210389011591911
CV,5.0,5.931446114175735
Ridge,1.0,0.49576760954656407
Ridge,2.0,1.359022241407359
Ridge,3.0,2.4870628488741438
Ridge,4.0,3.873752567093304
Ridge,5.0,5.50667941091494
Ridge+nonlinear,1.0,0.49521704712502096
Ridge+nonlinear,2.0,1.3550651445261992
Ridge+nonlinear,3.0,2.477912183964261
Ridge+nonlinear,4.0,3.8560829422089857
Ridge+nonlinear,5.0,5.474335002791746
XGBoost,1.0,0.482565783876516
XGBoost,2.0,1.310812519983384
XGBoost,3.0,2.3974611169455873
XGBoost,4.0,3.733293999690884
XGBoost,5.0,5.306911163623327
XGBoost+nonlinear,1.0,0.4825890703109268
XGBoost+nonlinear,2.0,1.3108282428029887
XGBoost+nonlinear,3.0,2.397485578122482
XGBoost+nonlinear,4.0,3.733120592682204
XGBoost+nonlinear,5.0,5.306602343485831
